Código UC,Nome da UC,Municípios Abrangidos
1160.26.4292,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATAS DO CURADO,RECIFE (PE)
1160.26.4311,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOIS IRMÃOS,RECIFE (PE)
1160.26.4312,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BEBERIBE,RECIFE (PE)
1160.26.4339,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ORLA MARÍTIMA,RECIFE (PE)
1280.42.4150,PARQUE NATURAL MUNICIPAL RIO PIÇARRAS,BALNEÁRIO PIÇARRAS (SC)
1306.33.4432,PARQUE NATURAL MUNICIPAL CÓRREGO DA LUZ,CASIMIRO DE ABREU (RJ)
1350.42.3626,PARQUE NATURAL MUNICIPAL DA LAGOA DO PEREQUÊ,PORTO BELO (SC)
1350.43.1976,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DE OSÓRIO,OSÓRIO (RS)
1360.29.2321,PARQUE MUNICIPAL NATURAL DA BOA ESPERANÇA,ILHÉUS (BA)
1360.29.3177,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CORREDOR ECOLÓGICO LAGOA ENCANTADA / SERRA DO CONDURU,ILHÉUS (BA)
1485.26.3281,PARQUE NATURAL MUNICIPAL DO FORTE DE TAMANDARE,TAMANDARÉ (PE)
1501.43.4618,APA DA LAGOA DE ITAPEVA,TORRES (RS)
1560.43.1757,AREA DE PROTEÇÃO AMBIENTAL DA LAGOA VERDE,RIO GRANDE (RS)
1620.42.4343,REFUGIO DA VIDA SILVESTRE NASCENTES DO SAI,SÃO FRANCISCO DO SUL (SC)
1707.21.4942,MONUMENTO NATURAL MORRO DA LADEIRA,BARREIRINHAS (MA)
1709.15.4587,REFÚGIO DE VIDA SILVESTRE DA ILHA CHAÚ,BRAGANÇA (PA)
1709.15.4588,REFÚGIO DE VIDA SILVESTRE DA ILHA DO CANELA,BRAGANÇA (PA)
1760.43.4194,PARQUE NATURAL MUNICIPAL MANUEL DE BARROS PEREIRA,SANTO ANTÔNIO DA PATRULHA (RS)
1850.33.4451,MONUMENTO NATURAL MUNICIPAL DA CONCÓRDIA,GUAPIMIRIM (RJ)
1850.33.4452,REFÚGIO DA VIDA SILVESTRE DO SUCAVÃO,GUAPIMIRIM (RJ)
1850.33.4453,PARQUE NATURAL MUNICIPAL DAS ÁGUAS DE GUAPIMIRIM,GUAPIMIRIM (RJ)
1850.43.3207,REFÚGIO DE VIDA SILVESTRE DO MOLHE LESTE,SÃO JOSÉ DO NORTE (RS)
1870.35.3977,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA SERRA DO GUARARU,GUARUJÁ (SP)
1870.35.4298,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO,GUARUJÁ (SP)
2100.29.3581,PARQUE NATURAL MUNICIPAL DA RESTINGA DE PRAIA DO FORTE,MATA DE SÃO JOÃO (BA)
2200.29.3803,ÁREA DE PROTEÇÃO AMBIENTAL DE COSTA DOURADA,MUCURI (BA)
2202.15.4590,PARQUE NATURAL MUNICIPAL RIO GARRAFÃO,CAPANEMA (PA)
2300.43.3400,PARQUE NATURAL MUNICIPAL SAINT HILAIRE,VIAMÃO (RS)
2305.42.4659,MONUMENTO NATURAL CACHOEIRA DO AMÂNCIO,BIGUAÇU (SC)
2530.29.3033,PARQUE NATURAL MUNICIPAL MARINHO DO RECIFE DE FORA,PORTO SEGURO (BA)
2600.24.4944,PARQUE NATURAL MUNICIPAL BOCA DA MATA,CEARÁ-MIRIM (RN)
2601.33.4670,PARQUE NATURAL MUNICIPAL DA PEDRA DO URUBU,MANGARATIBA (RJ)
2601.33.4884,ÁREA DE PROTEÇÃO AMBIENTAL ILHA VERDE,MANGARATIBA (RJ)
2858.33.4624,ÁREA DE PROTEÇÃO AMBIENTAL MESQUITA,MESQUITA (RJ)
2858.33.4636,PARQUE NATURAL MUNICIPAL DE MESQUITA,MESQUITA (RJ)
3209.25.4713,PARQUE NATURAL MUNICIPAL DE CABEDELO,CABEDELO (PB)
3302.33.4967,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CLÁUDIA ALMEIDA,NITERÓI (RJ)
3302.33.4968,PARQUE NATURAL MUNICIPAL MORRO DO MORCEGO DORA HEES DE NEGREIROS,NITERÓI (RJ)
3302.33.4978,MONUMENTO NATURAL DE ICARAHY,NITERÓI (RJ)
3500.42.4940,ÁREA DE PROTEÇÃO AMBIENTAL DA PONTA DO ARAÇÁ,PORTO BELO (SC)
3504.35.4958,PARQUE NATURAL MUNICIPAL COTIA-PARÁ,CUBATÃO (SP)
4151.33.4635,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA RIBEIRA,QUISSAMÃ (RJ)
4302.32.4966,RDS FOZ DO ITABAPOANA,PRESIDENTE KENNEDY (ES)
4500.27.4660,ARIE LAGOA AZUL,MARAGOGI (AL)
4557.33.4879,MONUMENTO NATURAL DO RECREIO DOS BANDEIRANTES,RIO DE JANEIRO (RJ)
4850.35.2063,ÁREA DE PROTEÇÃO AMBIENTAL SANTOS CONTINENTE,SANTOS (SP)
4850.35.4132,PARQUE NATURAL MUNICIPAL ENGENHO SAO JORGE DOS ERASMOS,SANTOS (SP)
5000.33.4420,ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS E RESTINGAS,SÃO JOÃO DA BARRA (RJ)
5000.33.4767,ÁREA DE PROTEÇÃO AMBIENTAL DO VEIGA,SÃO JOÃO DA BARRA (RJ)
5070.35.3577,ÁREA DE PROTEÇÃO AMBIENTAL BALEIA SAHY,SÃO SEBASTIÃO (SP)
5200.32.4582,MONUMENTO NATURAL MORRO DO MORENO,VILA VELHA (ES)
5407.42.3063,PARQUE NATURAL MUNICIPAL DO MANGUEZAL DO ITACORUBI - FRITZ MÜLLER,FLORIANÓPOLIS (SC)
5505.33.4668,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FORMIGUEIRO-DO-LITORAL,SAQUAREMA (RJ)
5505.33.4673,ÁREA DE PROTEÇÃO AMBIENTAL DAS SERRAS DO MATO GROSSO - TINGUI - CASTELHAÑAS,SAQUAREMA (RJ)
5554.33.4924,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DO CATUMBI,SEROPÉDICA (RJ)
6405.23.4960,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE ITAPIPOCA,ITAPIPOCA (CE)
8204.41.4837,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO (ARIE) DA ILHA DOS VALADARES,PARANAGUÁ (PR)
8204.41.4838,PARQUE NATURAL MUNICIPAL (PNM) DO RIBEIRÃO DOS ALMEIDAS,PARANAGUÁ (PR)
8204.41.4839,PARQUE NATURAL MUNICIPAL (PNM) DO RIO DAS PEDRAS,PARANAGUÁ (PR)
8450.42.4583,ÁREA DE PROTEÇÃO AMBIENTAL DOS GUAIAMUNS,ITAPOÁ (SC)
8450.42.4941,RESERVA BIOLÓGICA (REBIO) MATA DOS GUANANDIS - SIMFLOR I,ITAPOÁ (SC)
9600.26.4568,ARIE DE HORTO D'EL REY,OLINDA (PE)
9600.26.4569,ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DA ZONA RURAL,OLINDA (PE)
9600.26.4570,ARIE MANGUE DE SANTA TERESA,OLINDA (PE)
9609.41.4829,PARQUE MUNICIPAL NATURAL DA LAGOA DO PARADO,GUARATUBA (PR)
9954.41.4609,PARQUE NATURAL MUNICIPAL DO MANGUEZAL DO RIO PEREQUÊ,PONTAL DO PARANÁ (PR)
