Código UC,Nome da UC,Municípios Abrangidos
0000.00.1143,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA IZABEL,MANGARATIBA (RJ)
0000.00.1146,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA METODISTA ANA GONZAGA - CEMAG,RIO DE JANEIRO (RJ)
0000.00.1148,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO GROSSO,SAQUAREMA (RJ)
0000.00.1149,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUERÊNCIA,MAGÉ (RJ)
0000.00.1153,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO ANGABA,ITAGUAÍ (RJ)
0000.00.1155,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CÓRREGO DA LUZ,CASIMIRO DE ABREU (RJ)
0000.00.1156,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CACHOEIRINHA,MANGARATIBA (RJ)
0000.00.1160,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL EL NAGUAL,MAGÉ (RJ)
0000.00.1161,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CÉU DO MAR,RIO DE JANEIRO (RJ)
0000.00.1168,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PORANGABA,ITAGUAÍ (RJ)
0000.00.1173,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PORANGA,ITAGUAÍ (RJ)
0000.00.1175,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO GRANJA SÃO JORGE,RIO DE JANEIRO (RJ)
0000.00.1179,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CEC/TINGUÁ,NOVA IGUAÇU (RJ)
0000.00.1182,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA I,PRADO (BA)
0000.00.1184,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SALTO MORATO,GUARAQUEÇABA (PR)
0000.00.1189,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO BANANAL,MORRETES (PR)
0000.00.1201,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA DO OITEIRO DE MARACAÍPE,IPOJUCA (PE)
0000.00.1206,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENGENHO GARGAÚ,SANTA RITA (PB)
0000.00.1213,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SUMAÚMA,BARCARENA (PA)
0000.00.1239,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA HELENA,SÃO BENTO DO NORTE (RN)
0000.00.1316,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AMOREIRA,ROSÁRIO (MA)
0000.00.1319,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILHA DO CAJU,ARAIOSES (MA)
0000.00.1320,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA ESPERANÇA,SÃO LUÍS (MA)
0000.00.1322,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA PEDREIRAS,SÃO LUÍS (MA)
0000.00.1323,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO JAQUAREMA,SÃO JOSÉ DE RIBAMAR (MA)
0000.00.1324,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAGUAREMA,SÃO LUÍS (MA)
0000.00.1371,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAYONARA,CONCEIÇÃO DA BARRA (ES)
0000.00.1379,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO AMEIXAS - POÇO VELHO,ITAPIPOCA (CE)
0000.00.1384,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MERCÊS SABIAQUABA E NAZÁRIO,AMONTADA (CE)
0000.00.1394,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA LONTRA/SAUDADE,ITANAGRA (BA)
0000.00.1401,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA AVAÍ,CARAVELAS (BA)
0000.00.1403,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO CAPITÃO,ITACARÉ (BA)
0000.00.1404,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAJUEIRO,ESPLANADA (BA)
0000.00.1405,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUNAS DE SANTO ANTÔNIO,MATA DE SÃO JOÃO (BA)
0000.00.1406,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DA PENINHA,CACHOEIRA (BA)
0000.00.1407,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JOQUIM DA CABONHA APA I E APA II,CACHOEIRA (BA)
