Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.31.0365;ESTAÇÃO ECOLÓGICA MAR DE ESPANHA;Estadual;Estação Ecológica;Category Ia;MG;1974;Decreto 16580 de 23/09/1974;Recategorização - Decreto 36069 de 27/09/1994;Mar de Espanha (MG);Não;Não;187;0;0;0;187;0;0;0
0000.31.0366;ESTAÇÃO ECOLÓGICA DE CORUMBÁ;Estadual;Estação Ecológica;Category Ia;MG;1974;Decreto 16580 de 23/09/1974;Recategorização - Decreto 37826 de 14/03/1996;Arcos (MG);Não;Não;345;0;0;345;0;0;0;0
0000.31.0367;ESTAÇÃO ECOLÓGICA DO TRIPUÍ;Estadual;Estação Ecológica;Category Ia;MG;1978;Decreto 19157 de 24/04/1978;Recategorização - Decreto 21340 de 04/06/1981;Ouro Preto (MG);Sim;Não;299;0;0;0;299;0;0;0
0000.31.0368;PARQUE ESTADUAL DO SUMIDOURO;Estadual;Parque;Category II;MG;1980;Decreto 20598 de 03/01/1980;Ampliação - Decreto 44935 de 03/11/2008;Lagoa Santa (MG), Pedro Leopoldo (MG);Sim;Sim;2.005;0;0;2.005;0;0;0;0
0000.31.0370;ÁREA DE PROTEÇÃO AMBIENTAL VARGEM DAS FLORES;Estadual;Área de Proteção Ambiental;Category V;MG;2006;Lei ordinária 16197 de 26/06/2006;Retificação - Lei ordinária 21079 de 27/12/2013;Betim (MG), Contagem (MG);Não;Não;12.277;0;0;6.897;5.380;0;0;0
0000.31.0383;ESTAÇÃO ECOLÓGICA DE ÁGUA LIMPA;Estadual;Estação Ecológica;Category Ia;MG;1994;Decreto 36072 de 27/09/1994;-;Cataguases (MG);Não;Sim;71;0;0;0;71;0;0;0
0000.31.0384;ESTAÇÃO ECOLÓGICA DE FECHOS;Estadual;Estação Ecológica;Category Ia;MG;1994;Decreto 36073 de 27/09/1994;-;Nova Lima (MG);Sim;Sim;549;0;0;0;549;0;0;0
0000.31.0385;PARQUE ESTADUAL SERRA DO BRIGADEIRO;Estadual;Parque;Category II;MG;1996;Decreto 38319 de 27/09/1996;Ampliação - Decreto 44191 de 28/12/2005;Araponga (MG), Divino (MG), Ervália (MG), Fervedouro (MG), Miradouro (MG), Muriaé (MG), Pedra Bonita (MG), Sericita (MG);Sim;Sim;14.970;0;0;0;14.970;0;0;0
0000.31.0386;PARQUE ESTADUAL SERRA DAS ARARAS;Estadual;Parque;Category II;MG;1998;Decreto 39400 de 21/01/1998;-;Chapada Gaúcha (MG);Não;Não;13.553;0;0;13.553;0;0;0;0
0000.31.0387;PARQUE ESTADUAL GRÃO MOGOL;Estadual;Parque;Category II;MG;1998;Decreto 39906 de 22/09/1998;-;Grão Mogol (MG);Não;Sim;34.861;0;0;34.861;0;0;0;0
0000.31.0388;PARQUE ESTADUAL BIRIBIRI;Estadual;Parque;Category II;MG;1998;Decreto 39909 de 22/09/1998;-;Diamantina (MG);Sim;Sim;17.381;0;0;17.381;0;0;0;0
0000.31.0390;PARQUE ESTADUAL LAGOA DO CAJUEIRO;Estadual;Parque;Category II;MG;1998;Decreto 39954 de 08/10/1998;-;Matias Cardoso (MG);Não;Não;20.726;0;15.910;4.816;0;0;0;0
0000.31.0391;PARQUE ESTADUAL MATA SECA;Estadual;Parque;Category II;MG;2000;Decreto 41479 de 20/12/2000;-;Manga (MG);Não;Não;10.304;0;10.304;0;0;0;0;0
0000.31.0392;ESTAÇÃO ECOLÓGICA MATA DO CEDRO;Estadual;Estação Ecológica;Category Ia;MG;2000;Decreto 41514 de 28/12/2000;Revisão dos limites - Decreto 44177 de 20/12/2005;Carmópolis de Minas (MG);Não;Sim;1.564;0;0;0;1.564;0;0;0
0000.31.0393;PARQUE ESTADUAL SERRA NEGRA;Estadual;Parque;Category II;MG;1998;Decreto 39907 de 22/09/1998;-;Itamarandiba (MG);Não;Sim;13.977;0;0;1.938;12.039;0;0;0
0000.31.0394;PARQUE ESTADUAL DO RIO DOCE;Estadual;Parque;Category II;MG;1944;Decreto 1119 de 14/07/1944;Ampliação - Decreto 5831 de 06/07/1960;Dionísio (MG), Marliéria (MG), Timóteo (MG);Sim;Sim;35.947;0;0;0;35.947;0;0;0
0000.31.0395;PARQUE ESTADUAL NOVA BADEN;Estadual;Parque;Category II;MG;1974;Decreto 16580 de 23/09/1974;Recategorização - Decreto 36069 de 27/09/1994;Lambari (MG);Sim;Sim;213;0;0;0;213;0;0;0
0000.31.0397;PARQUE ESTADUAL VERDE GRANDE;Estadual;Parque;Category II;MG;1998;Decreto 39953 de 08/10/1998;-;Matias Cardoso (MG);Não;Não;25.562;0;7.988;17.574;0;0;0;0
0000.31.0398;PARQUE ESTADUAL SERRA DO ROLA MOÇA;Estadual;Parque;Category II;MG;1994;Decreto 36071 de 27/09/1994;-;Brumadinho (MG), Belo Horizonte (MG), Ibirité (MG), Nova Lima (MG);Sim;Sim;4.031;0;0;0;4.031;0;0;0
0000.31.0399;ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS;Estadual;Área de Proteção Ambiental;Category V;MG;1989;Decreto 30264 de 16/10/1989;-;Ouro Preto (MG);Não;Não;14.270;0;0;0;14.270;0;0;0
0000.31.0400;ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH;Estadual;Área de Proteção Ambiental;Category V;MG;1994;Decreto 35624 de 08/06/1994;-;Barão de Cocais (MG), Brumadinho (MG), Belo Horizonte (MG), CAETE (MG), Catas Altas (MG), Ibirité (MG), Itabirito (MG), Mário Campos (MG), Nova Lima (MG), Raposos (MG), Rio Acima (MG), Santa Bárbara (MG), Sarzedo (MG);Não;Sim;163.316;0;0;0;163.316;0;0;0
0000.31.0401;PARQUE ESTADUAL VEREDAS DO PERUAÇU;Estadual;Parque;Category II;MG;1994;Decreto 36070 de 27/09/1994;Ampliação - Decreto 44182 de 22/05/2005;Bonito de Minas (MG), Cônego Marinho (MG), JANUARIA (MG);Não;Sim;31.250;0;0;31.250;0;0;0;0
